[ 2023-03-26 15:32:40,581 ] 26 root - INFO - Initializing encoder using inception
[ 2023-03-26 15:32:40,695 ] 33 root - ERROR - Error occurred: Expected more than 1 value per channel when training, got input size torch.Size([1, 768, 1, 1])
[ 2023-03-26 15:32:40,696 ] 120 root - ERROR - Error occurred: Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [28] error message[Expected more than 1 value per channel when training, got input size torch.Size([1, 768, 1, 1])]
[ 2023-03-26 15:32:40,696 ] 57 root - ERROR - Error occurred: Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [103] error message[Error occured in python script name [E:\Softwares\deepraj\image captioning\src\components\cnn_to_lstm.py] line number [28] error message[Expected more than 1 value per channel when training, got input size torch.Size([1, 768, 1, 1])]]
[ 2023-03-26 15:43:39,308 ] 47 root - INFO - building vocabulary
[ 2023-03-26 15:57:54,680 ] 59 root - INFO - completed building vocabulary
[ 2023-03-26 15:57:54,683 ] 16 root - INFO - Tranforming data completed
[ 2023-03-26 15:57:54,683 ] 40 root - INFO - Initializing model
[ 2023-03-26 15:57:54,952 ] 46 root - ERROR - Error occurred: 'Sequential' object has no attribute 'AuxLogits'
[ 2023-03-26 16:03:03,508 ] 47 root - INFO - building vocabulary
[ 2023-03-26 16:17:10,130 ] 59 root - INFO - completed building vocabulary
[ 2023-03-26 16:17:10,130 ] 16 root - INFO - Tranforming data completed
[ 2023-03-26 16:17:10,130 ] 40 root - INFO - Initializing model
[ 2023-03-26 16:17:10,130 ] 46 root - ERROR - Error occurred: The parameter 'aux_logits' expected value True but got False instead.
[ 2023-03-26 16:18:35,967 ] 47 root - INFO - building vocabulary
[ 2023-03-26 16:34:19,118 ] 59 root - INFO - completed building vocabulary
[ 2023-03-26 16:34:19,122 ] 16 root - INFO - Tranforming data completed
[ 2023-03-26 16:34:19,122 ] 40 root - INFO - Initializing model
[ 2023-03-26 16:34:19,509 ] 44 root - INFO - Initializing model completed
[ 2023-03-26 16:34:19,509 ] 50 root - INFO - Finetuning cnn model
[ 2023-03-26 16:34:19,511 ] 46 root - INFO - Testing the correctness of an example
[ 2023-03-26 16:34:19,539 ] 107 root - INFO - Captioning images
